Token,I felt scared when I played the game [Strongly disagree],I felt scared when I played the game [Disagree],I felt scared when I played the game [Neutral],I felt scared when I played the game [Agree],I felt scared when I played the game [Strongly agree],I lost track of where I was when I played the game. [Strongly disagree],I lost track of where I was when I played the game. [Disagree],I lost track of where I was when I played the game. [Neutral],I lost track of where I was when I played the game. [Agree],I lost track of where I was when I played the game. [Strongly agree],I felt different when I was playing the game [Strongly disagree],I felt different when I was playing the game [Disagree],I felt different when I was playing the game [Neutral],I felt different when I was playing the game [Agree],I felt different when I was playing the game [Strongly agree],Time seemed to stand still or stop as I played the game. [Strongly disagree],Time seemed to stand still or stop as I played the game. [Disagree],Time seemed to stand still or stop as I played the game. [Neutral],Time seemed to stand still or stop as I played the game. [Agree],Time seemed to stand still or stop as I played the game. [Strongly agree],I felt spaced out as I played the game. [Strongly disagree],I felt spaced out as I played the game. [Disagree],I felt spaced out as I played the game. [Neutral],I felt spaced out as I played the game. [Agree],I felt spaced out as I played the game. [Strongly agree],I didn't answer when someone talked to me during the game. [No],I didn't answer when someone talked to me during the game. [Maybe No],I didn't answer when someone talked to me during the game. [Maybe],I didn't answer when someone talked to me during the game. [Maybe Yes],I didn't answer when someone talked to me during the game. [Yes],I couldn't tell if I was getting tired [No],I couldn't tell if I was getting tired [Maybe No],I couldn't tell if I was getting tired [Maybe],I couldn't tell if I was getting tired [Maybe Yes],I couldn't tell if I was getting tired [Yes],If someone talked to me during the game I didn't hear. [No],If someone talked to me during the game I didn't hear. [Maybe No],If someone talked to me during the game I didn't hear. [Maybe],If someone talked to me during the game I didn't hear. [Maybe Yes],If someone talked to me during the game I didn't hear. [Yes],I felt like I couldn't stop playing. [Strongly disagree],I felt like I couldn't stop playing. [Disagree],I felt like I couldn't stop playing. [Neutral],I felt like I couldn't stop playing. [Agree],I felt like I couldn't stop playing. [Strongly agree],The game felt real. [Strongly disagree],The game felt real. [Disagree],The game felt real. [Neutral],The game felt real. [Agree],The game felt real. [Strongly agree],I got wound up as I played the game. [Strongly disagree],I got wound up as I played the game. [Disagree],I got wound up as I played the game. [Neutral],I got wound up as I played the game. [Agree],I got wound up as I played the game. [Strongly agree],Playing seemed automatic. [Strongly disagree],Playing seemed automatic. [Disagree],Playing seemed automatic. [Neutral],Playing seemed automatic. [Agree],Playing seemed automatic. [Strongly agree],I played without thinking how to play. [Strongly disagree],I played without thinking how to play. [Disagree],I played without thinking how to play. [Neutral],I played without thinking how to play. [Agree],I played without thinking how to play. [Strongly agree],Playing made me feel calm. [Strongly disagree],Playing made me feel calm. [Disagree],Playing made me feel calm. [Neutral],Playing made me feel calm. [Agree],Playing made me feel calm. [Strongly agree],Things seemed to happen automatically. [Strongly disagree],Things seemed to happen automatically. [Disagree],Things seemed to happen automatically. [Neutral],Things seemed to happen automatically. [Agree],Things seemed to happen automatically. [Strongly agree],My thoughts went fast as I played the game. [Strongly disagree],My thoughts went fast as I played the game. [Disagree],My thoughts went fast as I played the game. [Neutral],My thoughts went fast as I played the game. [Agree],My thoughts went fast as I played the game. [Strongly agree],I played longer than I meant to. [Strongly disagree],I played longer than I meant to. [Disagree],I played longer than I meant to. [Neutral],I played longer than I meant to. [Agree],I played longer than I meant to. [Strongly agree],I lost track of the time. [Strongly disagree],I lost track of the time. [Disagree],I lost track of the time. [Neutral],I lost track of the time. [Agree],I lost track of the time. [Strongly agree],I really got into the game. [Strongly disagree],I really got into the game. [Disagree],I really got into the game. [Neutral],I really got into the game. [Agree],I really got into the game. [Strongly agree],Please tell us three things that you liked least about the game [Dislike 1],Please tell us three things that you liked least about the game [Dislike 2],Please tell us three things that you liked least about the game [Dislike 3],Please tell us three things that you liked most about the game. [Like 1],Please tell us three things that you liked most about the game. [Like 2],Please tell us three things that you liked most about the game. [Like 3],Email address
412002118,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Dying to easy,graphics,No Goal to obtain,Losing life rapidly ,fighting evil doers,seeing your friends,none@email.com
414000240,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Die fast,all the people attacking at once,not able to run fast enough,Fun,sound effects,captivates attention ,none@email.com
413001959,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,I kept dying :(,I didn't contract a disease but I had it anyway,Armor kills me,Foxy!,Watching others struggle,Pain and suffering,none@email.com
414000258,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,hp disappeared for no reason!!!!!!!,always dyinggg,too many things attacked,teaches patience,n/a,n/a,none@email.com
414000734,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,disease killed me too quickly,was almost impossible to kill enemies,couldn't get to some potions :(,the firefox thing,killing a skeleton,the armour,none@email.com
413002549,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,The Bleeding,Could kill no Creeps,WAS REALLY HARD TO FIND ITEMS,was a challenge,open world,was different,none@email.com
413000381,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,mobs was too strong,hp dropping randomly,could not get no where without being followed by mobs,contined from where you died,nothing,nothing,none@email.com
413001905,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,decreasing life system,couldn't heal myself ,nothing,equipment exploring ,nothing ,nothing,none@email.com
410000751,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,diseases were annoying,.,.,free open environment,ability to assist other players,.,none@email.com
412001253,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,health went down to fast,potions were not able to collect,monsters were to strong,it went by fast,weapons made me stronger,not enough weapons,none@email.com
413000513,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,no health,monsters OP,no food,pretty good graphics,fast pace,adventure,none@email.com
411002471,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Life went too quickly,The mods were extreme,"Could not move, died quickly",Contined from where I died,-,-,none@email.com
685176,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Health Dropped fast,Learning the game play,Wasn't much health potions,It was a role playing game,It had places to explore,There were other players in the game at the same time,none@email.com
411000943,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,hp lost ratio,mob aggro advantage,attacked mobs spawn on you on revival,no learning curve,seemingly expansive,teamplay,none@email.com
412005186,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Lack of a map,My life constantly dropping even though i wasn't attacked,finding a better weapon proved annoying,It was pretty fun,Interesting concept,The music is pretty good,none@email.com
408001585,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,constant loss of health,the Snake is mightier than the sword (-__-),Objectives were not really clear,Wide and open play field,different geographic feature throughout the map,obsticles are themed depending on there location,none@email.com
